objectid,sector,time,location,source,cars,trucks,motorcycle,bicycle,publictransport,pedestrian,other,placename,photo,video,photo_link,video_link,day_night,raion,comuna,localitate,year,month,hour,weekday,day_part,location_trasee,street,tipul,cauza,decedati,traumati
1,Botanica,2/24/2018 1:18,str. Melestiu 20/2, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Bulevardul Dacia,Ciocnire fata in spate,Nerespectarea distantei dintre vehicule,0,1
2,Botanica,1/30/2018 17:00,Bulevardul Decebal - Strada Trandafirilor,publika.md,1,0,0,0,0,1,0,Chişinău,https://media.publika.md/md/image/201608/w720/accident_59_56841800.jpg,Lipseşte,https://www.publika.md/accident-la-botanica-o-femeie-a-fost-lovita-pe-o-trecere-de-pietoni-_2994057.html,,1,Chişinău,Chişinău,Chişinău,2018,1,17,1,amurg,,Strada Trandafirilor,,,0,0
3,U.T.A. Gagauzia,9/20/2019 6:37,Congaz,gagauzinfo.md,2,0,0,0,0,0,0,Congaz, , ,,,0,,,,0,,0,0,,,,3.6,Conducere imprudentă,0,0
4,Botanica,2/14/2018 10:45,Strada Trandafirilor - Bulevardul Decebal,Royal Map,2,0,0,0,0,0,0,Chişinău,https://i.imgur.com/tcz3Qxr.jpg?1,Lipseşte,https://i.imgur.com/tcz3Qxr.jpg?1,,0,Chişinău,Chişinău,Chişinău,2018,2,10,2,ziua,,Strada Trandafirilor,,,0,0
5,"Strășeni, Romănești",4/2/2019 5:30,Romănești,Publika.md,0,0,0,0,1,0,0,Romănești,https://media.publika.md/md/image/201902/w720/accident_94453600.jpg, ,https://media.publika.md/md/image/201902/w720/accident_94453600.jpg,,0,,,,0,,0,0,,,,2.3,,0,4
6,"Taraclia, Albota",2/18/2019 14:35,Albota,Publika.md,2,0,0,0,0,0,0,Albota,https://media.publika.md/md/image/201902/w720/2c21c013eb758f9e5967843c3c09f36dd26ca732_36746400.jpg, ,https://media.publika.md/md/image/201902/w720/2c21c013eb758f9e5967843c3c09f36dd26ca732_36746400.jpg,,0,,,,0,,0,0,,,,3.4,"Viteză neadecvată vizibilităţii, condiţiilor, situaţiei rutiere",0,3
7,Botanica,5/2/2018 14:30,Strada Trandafirilor - Bulevardul Decebal,waze.com,2,0,0,0,0,0,0,Chişinău,https://scontent-otp1-1.xx.fbcdn.net/v/t1.0-9/31793511_620073234995784_5801386655134777344_n.jpg?_nc_cat=0&oh=a27a3396bf706ecb2c09359004142ae9&oe=5B9ACF5B,Lipseşte,https://www.facebook.com/groups/voditelipomogaiutpesehodam/permalink/1624629414257673/,,1,Chişinău,Chişinău,Chişinău,2018,5,14,2,ziua,,Strada Trandafirilor,,,0,0
8,Orhei,2/5/2019 14:05,Traseul R-20,Publika.md,1,0,0,0,0,0,0,Orhei,https://media.publika.md/md/image/201902/w720/51429086_648554888934620_3010909367420583936_n_08031000.jpg, ,https://media.publika.md/md/image/201902/w720/51429086_648554888934620_3010909367420583936_n_08031000.jpg,,0,,,,0,,0,0,,,,2.3,Drum alunecos (rugozitate scăzută),0,0
9,Vama Leușeni,2/5/2019 10:42,Vama Leușeni,Publika.md,0,1,0,0,0,1,0,Leușeni, ,https://www.publika.md/accident-fatal-la-vama-leuseni-o-femeie-a-murit-dupa-ce-a-fost-lovita-de-un-camion_3033120.html,,https://www.publika.md/accident-fatal-la-vama-leuseni-o-femeie-a-murit-dupa-ce-a-fost-lovita-de-un-camion_3033120.html,0,,,,0,,0,0,,,,1.3,"Neasigurarea la schimbarea benzii sau direcţiei de mers, viraj incorect",1,0
10,Botanica,5/15/2018 5:00,Strada Trandafirilor -Bulevardul Decebal,Royal Map,2,0,0,0,0,0,0,Chişinău,https://i.imgur.com/TjzDy6r.jpg,Lipseşte,https://i.imgur.com/TjzDy6r.jpg,,0,Chişinău,Chişinău,Chişinău,2018,5,5,1,noapte,,Strada Trandafirilor,,,0,0
11,Botanica,2/21/2018 19:40,Instersectia str. Trandafirilor - Decebal, ,0,0,0,0,0,0,0, , , ,,,0,Chişinău,Chişinău,Chişinău,2018,12,0,5,noapte,,Strada Trandafirilor,Tamponarea pietonilor angajati in traversare neregulamentara,Traversarea neregulamentara a ,,
12,Alte,9/5/2017 20:30,Traseul spre localitatea Cheltuitori,politiacapitalei.md,1,0,0,0,0,0,0,Cheltuitori,http://politiacapitalei.md/wp-content/uploads/2017/09/%D0%A0%D0%B8%D1%81%D1%83%D0%BD%D0%BE%D0%BA1-6.jpg,https://youtu.be/vhboCRhoy-E,http://politiacapitalei.md/accident-rutier-soldat-cu-decesul-unui-tanar-de-31-ani/,https://www.youtube.com/watch?v=vhboCRhoy-E,1,Chişinău,Tohatin,,2017,9,20,1,noapte,L455 - Cheltuitori - Tohatin,,,,0,0
13,Alte,9/11/2017 11:00,Corjeuti,tv8.md,1,0,1,0,0,0,0,Corjeuţi,http://tv8.md/wp-content/uploads/2017/09/21557544_1080392118763273_7048138389200485348_n.jpg,Lipseşte,http://tv8.md/2017/09/11/foto-accident-grav-la-corjeuti-un-motociclist-de-15-ani-a-ajuns-in-stare-grava-la-spital/,,0,Briceni,Corjeuţi,Corjeuţi,2017,9,11,0,ziua,M5 - Lipcani - Balasinești - Corjeuți - Tîrnova - M5,,,,0,0
14,Botanica,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,8,0,0,,,,,,0,0
15,Soroca,2/7/2019 6:12,Soroca,Publika.md,1,1,0,0,0,0,0,Soroca,https://media.publika.md/md/image/201902/w720/ac2_37555000.jpg, ,https://media.publika.md/md/image/201902/w720/ac2_37555000.jpg,,0,,,,0,,0,0,,,,,,0,1
16,Botanica,12/25/2018 12:00, , ,0,0,0,0,0,0,0, , , ,,,0,,,,2018,8,0,0,,,,,,0,0
17,Botanica,1/23/2018 8:45,Strada Grădina Botanica - Strada Calea Basaraiei,waze.com,2,0,0,0,0,0,0,Chişinău,Lipseşte,Lipseşte,,,0,Chişinău,Chişinău,Chişinău,2018,1,8,1,dimineata,,Strada Grădina Botanică,,,0,0
