id,y,text,com
0,1,un sofer a tamponat o femeie pe trecerea pietoni intersectia ||bd|| ||decebal|| cu ||strada|| ||trandafirilor|| potrivit politiei persoana traumata a fost luata o ambulanta si transportata urgenta spital,
1,1,aseara jurul orei 2330 politia capitalei a fost alertata despre inversarea unui automobil pe ||traseul|| ce duce ||spre|| ||localitatea|| ||cheltuitori|| soldat cu decesul unei persoane si altele trei traumatizate grav fata locului au intervenit grupa ope,
6,1,accidentul sa intamplat aceasta dimineata pe ||soseaua|| ||muncesti|| din capitala,
7,1,un pieton a fost spulberat mortal aseara un taxi accidentul sa produs pe ||soseaua|| ||muncesti|| din capitala jurul orei 21:00,
10,1,accidentul a avut loc sectorul botanica pe ||strada|| ||trandafirilor|| jurul orei 20:00,
14,1,doua masini sau ciocnit aseara intersectia ||bulevardel||or ||dacia|| si ||traian|| din capitala urma impactului un taxi sa rasturnat iar celalalt automobil a fost avariat,
18,1,accident rutier intersectia strazilor ||columna|| – ||maria|| ||cebotari|| dupa ce un automobil model bmw” volanul caruia se afla un sofer varsta 22 ani a fost lovit un kamaz urma acestuia un pasager a suf,
18,1,accident intersectia ||columna|| ||maria|| ||cebotari|| un automobil a fost lovit un kamaz,
18,1,accident intersectia ||columna|| ||maria|| ||cebotari|| un automobil sa tamponat intrun kamaz,
19,1,accident evitat ca prin minune sa intamplat astazi balti intersectia strazilor ||ivano|| ||franco|| cu ||bulgara||,
20,1,accidentul a avut loc pe ||strada|| ||mihai|| ||viteazul|| din capitala,
24,1,accident grav capitala intersectia strazilor ||sfatul|| tarii si stefan cel mare doua autovehicole sau ciocnit violent imaginea a fost distribuita pe o retea socializare un martor oc||sfatul|| ||tarii|| si ||stefan||,
25,1,accident pe ||strada|| ||calea|| ||iesilor|| din capitala ||apropiere|| intersectia cu strada ||mesager|| un automobil model bmw a ajuns intr un stalp soferul autoturismului a fost transportat spital s,
26,1,"accidentul a avut loc aseara pe ||strada|| ||calea|| ||iesilor|| din sectorul buiucani al capitalei trecatorii au fost primii care au scos victimele din automobilele avariate ""soferul era rasufla n",
